column,word
three_words,depression
three_words,stress
three_words,anxiety
three_words,self
three_words,care
three_words,self-care
three_words,happy
three_words,rest
three_words,sick
three_words,anxiety
three_words,happiness
three_words,positivity
three_words,therapy
cleaned_first_task_when_stress,talk
cleaned_first_task_when_stress,cry
cleaned_first_task_when_stress,sleep
cleaned_first_task_when_stress,pray
cleaned_first_task_when_stress,music
cleaned_first_task_when_stress,friend
cleaned_first_task_when_stress,pray
cleaned_first_task_when_stress,breathe
cleaned_first_task_when_stress,reflect
cleaned_first_task_when_stress,break
cleaned_first_task_when_stress,talk to friend
cleaned_first_task_when_stress,listen to music
cleaned_first_task_when_stress,breathing to relax
cleaned_alternative_task_stress,awareness
cleaned_alternative_task_stress,wellness
cleaned_alternative_task_stress,illness
cleaned_alternative_task_stress,activity
cleaned_alternative_task_stress,balance
cleaned_alternative_task_stress,talk
cleaned_alternative_task_stress,break
cleaned_alternative_task_stress,group
cleaned_alternative_task_stress,work
cleaned_alternative_task_stress,activity
cleaned_alternative_task_stress,talk to people
cleaned_alternative_task_stress,bonding session with people 
cleaned_activity_mental_wellness,exercise
cleaned_activity_mental_wellness,sleep
cleaned_activity_mental_wellness,friend
cleaned_activity_mental_wellness,rest
cleaned_activity_mental_wellness,game
cleaned_activity_mental_wellness,drama
cleaned_activity_mental_wellness,break
cleaned_activity_mental_wellness,movie
cleaned_activity_mental_wellness,walk
cleaned_activity_mental_wellness,music
cleaned_activity_mental_wellness,relax
cleaned_activity_mental_wellness,exercise
cleaned_activity_mental_wellness,watch
cleaned_activity_mental_wellness,family
cleaned_activity_mental_wellness,listen music
cleaned_importance_mental_wellness_reason,wellness
cleaned_importance_mental_wellness_reason,body
cleaned_importance_mental_wellness_reason,mind
cleaned_importance_mental_wellness_reason,illness
cleaned_importance_mental_wellness_reason,health
cleaned_importance_mental_wellness_reason,behaviour
cleaned_importance_mental_wellness_reason,ability
cleaned_importance_mental_wellness_reason,motivation
cleaned_importance_mental_wellness_reason,illness
cleaned_importance_mental_wellness_reason,wellness
cleaned_importance_mental_wellness_reason,health
cleaned_importance_mental_wellness_reason,mind
cleaned_importance_mental_wellness_reason,life
cleaned_importance_mental_wellness_reason,affect
cleaned_importance_mental_wellness_reason,mind
cleaned_importance_mental_wellness_reason,people
cleaned_importance_mental_wellness_reason,state
cleaned_importance_mental_wellness_reason,well
cleaned_importance_talking_someone_reason,perspective
cleaned_importance_talking_someone_reason,struggle
cleaned_importance_talking_someone_reason,stress
cleaned_importance_talking_someone_reason,thought
cleaned_importance_talking_someone_reason,feeling
cleaned_importance_talking_someone_reason,share
cleaned_importance_talking_someone_reason,angle
cleaned_importance_talking_someone_reason,outlet
cleaned_importance_talking_someone_reason,advise
cleaned_importance_talking_someone_reason,struggle
cleaned_importance_talking_someone_reason,opinion
cleaned_merge_companion_reason,prefer human touch
cleaned_merge_companion_reason,love pets
cleaned_merge_companion_reason,play music
cleaned_merge_companion_reason,play instrument 
cleaned_merge_companion_reason,human
cleaned_merge_companion_reason,share
cleaned_merge_companion_reason,touch
cleaned_merge_companion_reason,instrument
cleaned_merge_companion_reason,music
cleaned_merge_companion_reason,companion
cleaned_merge_companion_reason,dog
cleaned_merge_companion_reason,advice
cleaned_merge_companion_reason,pet
cleaned_merge_companion_reason,interaction
cleaned_merge_companion_reason,advice
cleaned_merge_companion_reason,intelligence
cleaned_first_task_when_stress,talk to friend
cleaned_first_task_when_stress,listen to music
cleaned_first_task_when_stress,pray
cleaned_first_task_when_stress,breathing to relax
cleaned_first_task_when_stress,sleeping
cleaned_first_task_when_stress,watching
cleaned_first_task_when_stress,read 
cleaned_first_task_when_stress,talk
cleaned_first_task_when_stress,cry
cleaned_first_task_when_stress,sleep
cleaned_first_task_when_stress,pray
cleaned_first_task_when_stress,music
cleaned_first_task_when_stress,friend
cleaned_first_task_when_stress,pray
cleaned_first_task_when_stress,talk
cleaned_first_task_when_stress,breathe
cleaned_first_task_when_stress,reflect
cleaned_first_task_when_stress,break
cleaned_first_task_when_stress,sleep
cleaned_limitation_reason,share
cleaned_limitation_reason,thought
cleaned_limitation_reason,friend
cleaned_limitation_reason,time
cleaned_limitation_reason,priority
cleaned_limitation_reason,cost
cleaned_limitation_reason,motivation
cleaned_limitation_reason,lack
cleaned_limitation_reason,product
cleaned_limitation_reason,money
cleaned_limitation_reason,school
